max_age_frames	sequence	metric_type	stream	field	baseline_age0	candidate	delta	safety_tolerance_s	gate
247	seq04_occlusion	spatial	tim_target_memory	correct_target_ratio	0.689	0.689	0.0		N/A
247	seq04_occlusion	spatial	tim_target_memory	wrong_target_ratio	0.0	0.0	0.0		N/A
247	seq04_occlusion	spatial	tim_target_memory	lost_target_ratio	0.233	0.233	0.0		N/A
394	may_hard_reentry	annotated_id	raw_target	correct_target_duration_s	38.283	38.283	0.0		N/A
394	may_hard_reentry	annotated_id	raw_target	wrong_target_duration_s	7.927	7.927	0.0		N/A
394	may_hard_reentry	annotated_id	raw_target	lost_target_duration_s	21.49	21.49	0.0		N/A
394	may_hard_reentry	annotated_id	raw_target	correct_target_ratio	0.565	0.565	0.0		N/A
394	may_hard_reentry	annotated_id	raw_target	wrong_target_ratio	0.117	0.117	0.0		N/A
394	may_hard_reentry	annotated_id	raw_target	lost_target_ratio	0.317	0.317	0.0		N/A
394	may_hard_reentry	annotated_id	tim_target_memory	correct_target_duration_s	62.513	62.513	0.0		N/A
394	may_hard_reentry	annotated_id	tim_target_memory	wrong_target_duration_s	0.1	0.1	0.0	0.05	PASS
394	may_hard_reentry	annotated_id	tim_target_memory	lost_target_duration_s	5.087	5.087	0.0		N/A
394	may_hard_reentry	annotated_id	tim_target_memory	correct_target_ratio	0.923	0.923	0.0		N/A
394	may_hard_reentry	annotated_id	tim_target_memory	wrong_target_ratio	0.001	0.001	0.0		N/A
394	may_hard_reentry	annotated_id	tim_target_memory	lost_target_ratio	0.075	0.075	0.0		N/A
394	may_hard_reentry	spatial	raw_target	correct_target_duration_s	41.417	41.417	0.0		N/A
394	may_hard_reentry	spatial	raw_target	wrong_target_duration_s	4.429	4.429	0.0		N/A
394	may_hard_reentry	spatial	raw_target	lost_target_duration_s	20.675	20.675	0.0		N/A
394	may_hard_reentry	spatial	raw_target	correct_target_ratio	0.613	0.613	0.0		N/A
394	may_hard_reentry	spatial	raw_target	wrong_target_ratio	0.066	0.066	0.0		N/A
394	may_hard_reentry	spatial	raw_target	lost_target_ratio	0.306	0.306	0.0		N/A
394	may_hard_reentry	spatial	tim_target_memory	correct_target_duration_s	62.427	62.427	0.0		N/A
394	may_hard_reentry	spatial	tim_target_memory	wrong_target_duration_s	0.0	0.0	0.0	0.05	PASS
394	may_hard_reentry	spatial	tim_target_memory	lost_target_duration_s	4.095	4.095	0.0		N/A
394	may_hard_reentry	spatial	tim_target_memory	correct_target_ratio	0.923	0.923	0.0		N/A
394	may_hard_reentry	spatial	tim_target_memory	wrong_target_ratio	0.0	0.0	0.0		N/A
394	may_hard_reentry	spatial	tim_target_memory	lost_target_ratio	0.061	0.061	0.0		N/A
394	seq01_clean	annotated_id	raw_target	correct_target_duration_s	55.55	55.55	0.0		N/A
394	seq01_clean	annotated_id	raw_target	wrong_target_duration_s	0.0	0.0	0.0		N/A
394	seq01_clean	annotated_id	raw_target	lost_target_duration_s	66.79	66.79	0.0		N/A
394	seq01_clean	annotated_id	raw_target	correct_target_ratio	0.454	0.454	0.0		N/A
394	seq01_clean	annotated_id	raw_target	wrong_target_ratio	0.0	0.0	0.0		N/A
394	seq01_clean	annotated_id	raw_target	lost_target_ratio	0.546	0.546	0.0		N/A
394	seq01_clean	annotated_id	tim_target_memory	correct_target_duration_s	108.75	108.75	0.0		N/A
394	seq01_clean	annotated_id	tim_target_memory	wrong_target_duration_s	0.0	0.0	0.0	0.05	PASS
394	seq01_clean	annotated_id	tim_target_memory	lost_target_duration_s	13.59	13.59	0.0		N/A
394	seq01_clean	annotated_id	tim_target_memory	correct_target_ratio	0.889	0.889	0.0		N/A
394	seq01_clean	annotated_id	tim_target_memory	wrong_target_ratio	0.0	0.0	0.0		N/A
394	seq01_clean	annotated_id	tim_target_memory	lost_target_ratio	0.111	0.111	0.0		N/A
394	seq01_clean	spatial	raw_target	correct_target_duration_s	54.687	54.687	0.0		N/A
394	seq01_clean	spatial	raw_target	wrong_target_duration_s	0.0	0.0	0.0		N/A
394	seq01_clean	spatial	raw_target	lost_target_duration_s	53.276	53.276	0.0		N/A
394	seq01_clean	spatial	raw_target	correct_target_ratio	0.507	0.507	0.0		N/A
394	seq01_clean	spatial	raw_target	wrong_target_ratio	0.0	0.0	0.0		N/A
394	seq01_clean	spatial	raw_target	lost_target_ratio	0.493	0.493	0.0		N/A
394	seq01_clean	spatial	tim_target_memory	correct_target_duration_s	107.963	107.963	0.0		N/A
394	seq01_clean	spatial	tim_target_memory	wrong_target_duration_s	0.0	0.0	0.0	0.05	PASS
394	seq01_clean	spatial	tim_target_memory	lost_target_duration_s	0.0	0.0	0.0		N/A
394	seq01_clean	spatial	tim_target_memory	correct_target_ratio	1.0	1.0	0.0		N/A
394	seq01_clean	spatial	tim_target_memory	wrong_target_ratio	0.0	0.0	0.0		N/A
394	seq01_clean	spatial	tim_target_memory	lost_target_ratio	0.0	0.0	0.0		N/A
394	seq03_crossing	annotated_id	raw_target	correct_target_duration_s	32.6	32.6	0.0		N/A
394	seq03_crossing	annotated_id	raw_target	wrong_target_duration_s	0.1	0.1	0.0		N/A
394	seq03_crossing	annotated_id	raw_target	lost_target_duration_s	63.027	63.027	0.0		N/A
394	seq03_crossing	annotated_id	raw_target	correct_target_ratio	0.341	0.341	0.0		N/A
394	seq03_crossing	annotated_id	raw_target	wrong_target_ratio	0.001	0.001	0.0		N/A
394	seq03_crossing	annotated_id	raw_target	lost_target_ratio	0.658	0.658	0.0		N/A
394	seq03_crossing	annotated_id	tim_target_memory	correct_target_duration_s	79.398	79.398	0.0		N/A
394	seq03_crossing	annotated_id	tim_target_memory	wrong_target_duration_s	0.95	0.95	0.0	0.05	PASS
394	seq03_crossing	annotated_id	tim_target_memory	lost_target_duration_s	15.379	15.379	0.0		N/A
394	seq03_crossing	annotated_id	tim_target_memory	correct_target_ratio	0.829	0.829	0.0		N/A
394	seq03_crossing	annotated_id	tim_target_memory	wrong_target_ratio	0.01	0.01	0.0		N/A
394	seq03_crossing	annotated_id	tim_target_memory	lost_target_ratio	0.161	0.161	0.0		N/A
394	seq03_crossing	spatial	raw_target	correct_target_duration_s	32.608	32.608	0.0		N/A
394	seq03_crossing	spatial	raw_target	wrong_target_duration_s	0.0	0.0	0.0		N/A
394	seq03_crossing	spatial	raw_target	lost_target_duration_s	57.218	57.218	0.0		N/A
394	seq03_crossing	spatial	raw_target	correct_target_ratio	0.341	0.341	0.0		N/A
394	seq03_crossing	spatial	raw_target	wrong_target_ratio	0.0	0.0	0.0		N/A
394	seq03_crossing	spatial	raw_target	lost_target_ratio	0.598	0.598	0.0		N/A
394	seq03_crossing	spatial	tim_target_memory	correct_target_duration_s	79.962	79.962	0.0		N/A
394	seq03_crossing	spatial	tim_target_memory	wrong_target_duration_s	0.0	0.0	0.0	0.05	PASS
394	seq03_crossing	spatial	tim_target_memory	lost_target_duration_s	9.864	9.864	0.0		N/A
394	seq03_crossing	spatial	tim_target_memory	correct_target_ratio	0.835	0.835	0.0		N/A
394	seq03_crossing	spatial	tim_target_memory	wrong_target_ratio	0.0	0.0	0.0		N/A
394	seq03_crossing	spatial	tim_target_memory	lost_target_ratio	0.103	0.103	0.0		N/A
394	seq04_occlusion	annotated_id	raw_target	correct_target_duration_s	36.689	36.689	0.0		N/A
394	seq04_occlusion	annotated_id	raw_target	wrong_target_duration_s	0.45	0.45	0.0		N/A
394	seq04_occlusion	annotated_id	raw_target	lost_target_duration_s	19.683	19.683	0.0		N/A
394	seq04_occlusion	annotated_id	raw_target	correct_target_ratio	0.646	0.646	0.0		N/A
394	seq04_occlusion	annotated_id	raw_target	wrong_target_ratio	0.008	0.008	0.0		N/A
394	seq04_occlusion	annotated_id	raw_target	lost_target_ratio	0.346	0.346	0.0		N/A
394	seq04_occlusion	annotated_id	tim_target_memory	correct_target_duration_s	39.093	39.093	0.0		N/A
394	seq04_occlusion	annotated_id	tim_target_memory	wrong_target_duration_s	0.25	0.25	0.0	0.05	PASS
394	seq04_occlusion	annotated_id	tim_target_memory	lost_target_duration_s	17.479	17.479	0.0		N/A
394	seq04_occlusion	annotated_id	tim_target_memory	correct_target_ratio	0.688	0.688	0.0		N/A
394	seq04_occlusion	annotated_id	tim_target_memory	wrong_target_ratio	0.004	0.004	0.0		N/A
394	seq04_occlusion	annotated_id	tim_target_memory	lost_target_ratio	0.308	0.308	0.0		N/A
394	seq04_occlusion	spatial	raw_target	correct_target_duration_s	36.749	36.749	0.0		N/A
394	seq04_occlusion	spatial	raw_target	wrong_target_duration_s	0.31	0.31	0.0		N/A
394	seq04_occlusion	spatial	raw_target	lost_target_duration_s	15.38	15.38	0.0		N/A
394	seq04_occlusion	spatial	raw_target	correct_target_ratio	0.647	0.647	0.0		N/A
394	seq04_occlusion	spatial	raw_target	wrong_target_ratio	0.005	0.005	0.0		N/A
394	seq04_occlusion	spatial	raw_target	lost_target_ratio	0.271	0.271	0.0		N/A
394	seq04_occlusion	spatial	tim_target_memory	correct_target_duration_s	39.183	39.183	0.0		N/A
394	seq04_occlusion	spatial	tim_target_memory	wrong_target_duration_s	0.0	0.0	0.0	0.05	PASS
394	seq04_occlusion	spatial	tim_target_memory	lost_target_duration_s	13.256	13.256	0.0		N/A
394	seq04_occlusion	spatial	tim_target_memory	correct_target_ratio	0.689	0.689	0.0		N/A
394	seq04_occlusion	spatial	tim_target_memory	wrong_target_ratio	0.0	0.0	0.0		N/A
394	seq04_occlusion	spatial	tim_target_memory	lost_target_ratio	0.233	0.233	0.0		N/A
427	may_hard_reentry	annotated_id	raw_target	correct_target_duration_s	38.283	38.283	0.0		N/A
427	may_hard_reentry	annotated_id	raw_target	wrong_target_duration_s	7.927	7.927	0.0		N/A
427	may_hard_reentry	annotated_id	raw_target	lost_target_duration_s	21.49	21.49	0.0		N/A
427	may_hard_reentry	annotated_id	raw_target	correct_target_ratio	0.565	0.565	0.0		N/A
427	may_hard_reentry	annotated_id	raw_target	wrong_target_ratio	0.117	0.117	0.0		N/A
427	may_hard_reentry	annotated_id	raw_target	lost_target_ratio	0.317	0.317	0.0		N/A
427	may_hard_reentry	annotated_id	tim_target_memory	correct_target_duration_s	62.513	62.513	0.0		N/A
427	may_hard_reentry	annotated_id	tim_target_memory	wrong_target_duration_s	0.1	0.1	0.0	0.05	PASS
427	may_hard_reentry	annotated_id	tim_target_memory	lost_target_duration_s	5.087	5.087	0.0		N/A
427	may_hard_reentry	annotated_id	tim_target_memory	correct_target_ratio	0.923	0.923	0.0		N/A
427	may_hard_reentry	annotated_id	tim_target_memory	wrong_target_ratio	0.001	0.001	0.0		N/A
427	may_hard_reentry	annotated_id	tim_target_memory	lost_target_ratio	0.075	0.075	0.0		N/A
427	may_hard_reentry	spatial	raw_target	correct_target_duration_s	41.417	41.417	0.0		N/A
427	may_hard_reentry	spatial	raw_target	wrong_target_duration_s	4.429	4.429	0.0		N/A
427	may_hard_reentry	spatial	raw_target	lost_target_duration_s	20.675	20.675	0.0		N/A
427	may_hard_reentry	spatial	raw_target	correct_target_ratio	0.613	0.613	0.0		N/A
427	may_hard_reentry	spatial	raw_target	wrong_target_ratio	0.066	0.066	0.0		N/A
427	may_hard_reentry	spatial	raw_target	lost_target_ratio	0.306	0.306	0.0		N/A
427	may_hard_reentry	spatial	tim_target_memory	correct_target_duration_s	62.427	62.427	0.0		N/A
427	may_hard_reentry	spatial	tim_target_memory	wrong_target_duration_s	0.0	0.0	0.0	0.05	PASS
427	may_hard_reentry	spatial	tim_target_memory	lost_target_duration_s	4.095	4.095	0.0		N/A
427	may_hard_reentry	spatial	tim_target_memory	correct_target_ratio	0.923	0.923	0.0		N/A
427	may_hard_reentry	spatial	tim_target_memory	wrong_target_ratio	0.0	0.0	0.0		N/A
427	may_hard_reentry	spatial	tim_target_memory	lost_target_ratio	0.061	0.061	0.0		N/A
427	seq01_clean	annotated_id	raw_target	correct_target_duration_s	55.55	55.55	0.0		N/A
427	seq01_clean	annotated_id	raw_target	wrong_target_duration_s	0.0	0.0	0.0		N/A
427	seq01_clean	annotated_id	raw_target	lost_target_duration_s	66.79	66.79	0.0		N/A
427	seq01_clean	annotated_id	raw_target	correct_target_ratio	0.454	0.454	0.0		N/A
427	seq01_clean	annotated_id	raw_target	wrong_target_ratio	0.0	0.0	0.0		N/A
427	seq01_clean	annotated_id	raw_target	lost_target_ratio	0.546	0.546	0.0		N/A
427	seq01_clean	annotated_id	tim_target_memory	correct_target_duration_s	108.75	108.75	0.0		N/A
427	seq01_clean	annotated_id	tim_target_memory	wrong_target_duration_s	0.0	0.0	0.0	0.05	PASS
427	seq01_clean	annotated_id	tim_target_memory	lost_target_duration_s	13.59	13.59	0.0		N/A
427	seq01_clean	annotated_id	tim_target_memory	correct_target_ratio	0.889	0.889	0.0		N/A
427	seq01_clean	annotated_id	tim_target_memory	wrong_target_ratio	0.0	0.0	0.0		N/A
427	seq01_clean	annotated_id	tim_target_memory	lost_target_ratio	0.111	0.111	0.0		N/A
427	seq01_clean	spatial	raw_target	correct_target_duration_s	54.687	54.687	0.0		N/A
427	seq01_clean	spatial	raw_target	wrong_target_duration_s	0.0	0.0	0.0		N/A
427	seq01_clean	spatial	raw_target	lost_target_duration_s	53.276	53.276	0.0		N/A
427	seq01_clean	spatial	raw_target	correct_target_ratio	0.507	0.507	0.0		N/A
427	seq01_clean	spatial	raw_target	wrong_target_ratio	0.0	0.0	0.0		N/A
427	seq01_clean	spatial	raw_target	lost_target_ratio	0.493	0.493	0.0		N/A
427	seq01_clean	spatial	tim_target_memory	correct_target_duration_s	107.963	107.963	0.0		N/A
427	seq01_clean	spatial	tim_target_memory	wrong_target_duration_s	0.0	0.0	0.0	0.05	PASS
427	seq01_clean	spatial	tim_target_memory	lost_target_duration_s	0.0	0.0	0.0		N/A
427	seq01_clean	spatial	tim_target_memory	correct_target_ratio	1.0	1.0	0.0		N/A
427	seq01_clean	spatial	tim_target_memory	wrong_target_ratio	0.0	0.0	0.0		N/A
427	seq01_clean	spatial	tim_target_memory	lost_target_ratio	0.0	0.0	0.0		N/A
427	seq03_crossing	annotated_id	raw_target	correct_target_duration_s	32.6	32.6	0.0		N/A
427	seq03_crossing	annotated_id	raw_target	wrong_target_duration_s	0.1	0.1	0.0		N/A
427	seq03_crossing	annotated_id	raw_target	lost_target_duration_s	63.027	63.027	0.0		N/A
427	seq03_crossing	annotated_id	raw_target	correct_target_ratio	0.341	0.341	0.0		N/A
427	seq03_crossing	annotated_id	raw_target	wrong_target_ratio	0.001	0.001	0.0		N/A
427	seq03_crossing	annotated_id	raw_target	lost_target_ratio	0.658	0.658	0.0		N/A
427	seq03_crossing	annotated_id	tim_target_memory	correct_target_duration_s	79.398	79.398	0.0		N/A
427	seq03_crossing	annotated_id	tim_target_memory	wrong_target_duration_s	0.95	0.95	0.0	0.05	PASS
427	seq03_crossing	annotated_id	tim_target_memory	lost_target_duration_s	15.379	15.379	0.0		N/A
427	seq03_crossing	annotated_id	tim_target_memory	correct_target_ratio	0.829	0.829	0.0		N/A
427	seq03_crossing	annotated_id	tim_target_memory	wrong_target_ratio	0.01	0.01	0.0		N/A
427	seq03_crossing	annotated_id	tim_target_memory	lost_target_ratio	0.161	0.161	0.0		N/A
427	seq03_crossing	spatial	raw_target	correct_target_duration_s	32.608	32.608	0.0		N/A
427	seq03_crossing	spatial	raw_target	wrong_target_duration_s	0.0	0.0	0.0		N/A
427	seq03_crossing	spatial	raw_target	lost_target_duration_s	57.218	57.218	0.0		N/A
427	seq03_crossing	spatial	raw_target	correct_target_ratio	0.341	0.341	0.0		N/A
427	seq03_crossing	spatial	raw_target	wrong_target_ratio	0.0	0.0	0.0		N/A
427	seq03_crossing	spatial	raw_target	lost_target_ratio	0.598	0.598	0.0		N/A
427	seq03_crossing	spatial	tim_target_memory	correct_target_duration_s	79.962	79.962	0.0		N/A
427	seq03_crossing	spatial	tim_target_memory	wrong_target_duration_s	0.0	0.0	0.0	0.05	PASS
427	seq03_crossing	spatial	tim_target_memory	lost_target_duration_s	9.864	9.864	0.0		N/A
427	seq03_crossing	spatial	tim_target_memory	correct_target_ratio	0.835	0.835	0.0		N/A
427	seq03_crossing	spatial	tim_target_memory	wrong_target_ratio	0.0	0.0	0.0		N/A
427	seq03_crossing	spatial	tim_target_memory	lost_target_ratio	0.103	0.103	0.0		N/A
427	seq04_occlusion	annotated_id	raw_target	correct_target_duration_s	36.689	36.689	0.0		N/A
427	seq04_occlusion	annotated_id	raw_target	wrong_target_duration_s	0.45	0.45	0.0		N/A
427	seq04_occlusion	annotated_id	raw_target	lost_target_duration_s	19.683	19.683	0.0		N/A
427	seq04_occlusion	annotated_id	raw_target	correct_target_ratio	0.646	0.646	0.0		N/A
427	seq04_occlusion	annotated_id	raw_target	wrong_target_ratio	0.008	0.008	0.0		N/A
427	seq04_occlusion	annotated_id	raw_target	lost_target_ratio	0.346	0.346	0.0		N/A
427	seq04_occlusion	annotated_id	tim_target_memory	correct_target_duration_s	39.093	39.093	0.0		N/A
427	seq04_occlusion	annotated_id	tim_target_memory	wrong_target_duration_s	0.25	0.25	0.0	0.05	PASS
427	seq04_occlusion	annotated_id	tim_target_memory	lost_target_duration_s	17.479	17.479	0.0		N/A
427	seq04_occlusion	annotated_id	tim_target_memory	correct_target_ratio	0.688	0.688	0.0		N/A
427	seq04_occlusion	annotated_id	tim_target_memory	wrong_target_ratio	0.004	0.004	0.0		N/A
427	seq04_occlusion	annotated_id	tim_target_memory	lost_target_ratio	0.308	0.308	0.0		N/A
427	seq04_occlusion	spatial	raw_target	correct_target_duration_s	36.749	36.749	0.0		N/A
427	seq04_occlusion	spatial	raw_target	wrong_target_duration_s	0.31	0.31	0.0		N/A
427	seq04_occlusion	spatial	raw_target	lost_target_duration_s	15.38	15.38	0.0		N/A
427	seq04_occlusion	spatial	raw_target	correct_target_ratio	0.647	0.647	0.0		N/A
427	seq04_occlusion	spatial	raw_target	wrong_target_ratio	0.005	0.005	0.0		N/A
427	seq04_occlusion	spatial	raw_target	lost_target_ratio	0.271	0.271	0.0		N/A
427	seq04_occlusion	spatial	tim_target_memory	correct_target_duration_s	39.183	39.183	0.0		N/A
427	seq04_occlusion	spatial	tim_target_memory	wrong_target_duration_s	0.0	0.0	0.0	0.05	PASS
427	seq04_occlusion	spatial	tim_target_memory	lost_target_duration_s	13.256	13.256	0.0		N/A
427	seq04_occlusion	spatial	tim_target_memory	correct_target_ratio	0.689	0.689	0.0		N/A
427	seq04_occlusion	spatial	tim_target_memory	wrong_target_ratio	0.0	0.0	0.0		N/A
427	seq04_occlusion	spatial	tim_target_memory	lost_target_ratio	0.233	0.233	0.0		N/A
